20270;01140203700001;01140203700001;YSUR;LdS.x-1;YPF.Nq.LdS.x-1;GL;725.0;1753.5;2440076.74187855;5657146.2907127;Loma del Sueno;Neuquen;N/D;AMERICAS PETROGAS;1984-01-01;1;TOTORAL;Neuquen;YSUR;Projection unknown. Data from JAC;AMERICAS PETROGAS
30637;PLU.Nq.Ce-1608(d);PLU.Nq.Ce-1608(d);SEN;Ce-1608(d);PLU.Nq.Ce-1608(d);GL;361.65;3882.0;2566541.02993806;5694231.33381299;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-09-07;1608(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159870;UNKNOWN
30643;YPF.Nq.Ce.a-72;YPF.Nq.Ce.a-72;SEN;Ce.a-72;YPF.Nq.Ce.a-72;GL;329.63;2397.0;2563244.8740628;5693147.24503184;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;1969-05-31;72;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 78498;UNKNOWN
30646;PLU.Nq.Ce-1228;PLU.Nq.Ce-1228;SEN;Ce-1228;PLU.Nq.Ce-1228;GL;356.11;2620.0;2568918.91611421;5693015.69563256;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;;1228;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 78442;UNKNOWN
30554;PLU.Nq.Ce-1287;PLU.Nq.Ce-1287;SEN;Ce-1287;PLU.Nq.Ce-1287;GL;355.0;2702.0;2570773.27106892;5694533.91096907;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;;1287;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 129575;UNKNOWN
30573;PLU.Nq.Ce-1504(d);PLU.Nq.Ce-1504(d);SEN;Ce-1504(d);PLU.Nq.Ce-1504(d);GL;354.77;3539.6;2569798.3119515;5692710.32847406;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-10-19;1504(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157803;UNKNOWN
30596;PLU.Nq.Ce-1541(d);PLU.Nq.Ce-1541(d);SEN;Ce-1541(d);PLU.Nq.Ce-1541(d);GL;290.9;3361.0;2569806.33665249;5693619.88339668;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-11-01;1541(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157450;UNKNOWN
30625;PLU.Nq.Ce-1568(d);PLU.Nq.Ce-1568(d);SEN;Ce-1568(d);PLU.Nq.Ce-1568(d);GL;356.57;3911.5;2569451.37321833;5693651.42916633;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-04-14;1568(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158204;UNKNOWN
30647;YPF.Nq.Ce-21;YPF.Nq.Ce-21;SEN;Ce-21;YPF.Nq.Ce-21;GL;358.0;2702.0;2568574.88527178;5695858.57163945;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;1965-06-20;21;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 78526;UNKNOWN
30555;PLU.Nq.Ce-1390(d);PLU.Nq.Ce-1390(d);SEN;Ce-1390(d);PLU.Nq.Ce-1390(d);GL;356.38;2759.9;2570634.25229817;5692295.66827719;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;1900-01-01;1390(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 144719;UNKNOWN
30581;PLU.Nq.Ce-1532(d);PLU.Nq.Ce-1532(d);SEN;Ce-1532(d);PLU.Nq.Ce-1532(d);GL;355.73;3150.0;2562030.41410198;5693658.68140021;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-04-18;1532(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156814;UNKNOWN
